invno,itemcode,qty,discount_applied,purchaseprice
1,1276678165311,2,,
1,1439053985400,3,,
1,1825706434325,2,,
1,3414077755072,2,,
1,77138260738,2,,
2,3437092838232,1,,
2,3529641701435,1,,
2,3692809881621,2,,
2,3781243927428,2,,
3,4198370883808,2,,
3,4419592058135,2,,
3,6125059283852,3,,
3,6641777465275,2,,
4,8818902279466,3,,
4,9141911921574,6,,
4,9553173797823,1,,
5,5692260424576,2,,
5,9233874001771,3,,
5,9414224955035,2,,
5,9446076457936,2,,
5,9673455923281,2,,
5,9907871884915,3,,
5,9911543959160,2,,
6,3529641701435,1,,
6,7473100381856,2,,
6,9446076457936,2,,
7,3437092838232,1,,
7,3440089482255,1,,
7,4226632397877,2,,
7,4287124254059,2,,
7,4297619923267,2,,
7,7486015410219,2,,
8,2088608077085,3,,
8,3692809881621,1,,
8,5709928372640,3,,
8,7402173507422,3,,
9,18985904636,1,,
9,1920446225307,1,,
9,2555835514420,2,,
9,2595994337763,3,,
9,5692260424576,2,,
9,5709928372640,1,,
10,1920446225307,2,,
10,2108065354842,2,,
10,2147024987972,2,,
10,2605660903398,2,,
10,2643460146790,2,,
11,1159773660427,2,,
11,1202090786034,1,,
11,1737601765672,2,,
11,1805628685987,2,,
11,3437092838232,2,,
11,3440089482255,2,,
11,5692260424576,1,,
11,5709928372640,2,,
11,7717876455743,1,,
12,37480666301,2,,
12,377916232724,2,,
12,3781243927428,2,,
12,5692260424576,3,,
12,5709928372640,3,,
12,9673455923281,3,,
13,1107598387298,3,,
13,1130178714693,3,,
13,1159773660427,2,,
13,1202090786034,2,,
13,1234757437157,2,,
13,1439053985400,3,,
13,1454877089182,3,,
13,9446076457936,2,,
13,9673455923281,3,,
14,2437581370451,25,,
14,2108065354842,45,,
14,2585868702965,81,,
14,77138260738,20,,
15,2147024987972,40,,
15,377916232724,86,,
15,18985904636,56,,
15,2525928610022,4,,
16,7572734419041,102,,
16,7717876455743,4,,
16,7640576630556,30,,
16,7772218885168,81,,
16,7667612270538,76,,
16,7738359660968,35,,
17,6725958559525,60,,
17,6904544442887,4,,
17,7139714122929,30,,
17,7075604333224,35,,
17,7131966323459,76,,
17,6906181453793,20,,
17,6857737442756,76,,
18,4988433620806,56,,
18,5095161804493,9,,
18,5002033372982,40,,
18,4943045368969,45,,
19,5691856706789,35,,
19,5709928372640,40,,
19,5692260424576,45,,
19,5778666989554,35,,
20,9907871884915,45,,
20,9942784304392,40,,
20,9673455923281,92,,
20,9874435339651,66,,
20,9911543959160,15,,
20,9664534762926,45,,
20,9737304818826,102,,
21,5101572251751,81,,
21,5161306475091,41,,
21,5287649412216,22,,
21,5206374963140,40,,
22,3692809881621,20,,
22,3781243927428,102,,
22,3437092838232,4,,
22,3529641701435,45,,
22,3678434882628,25,,
22,3420962876731,15,,
22,3440089482255,40,,
22,3686016475870,30,,
22,3848203168782,15,,
22,3705722076256,15,,
23,6287964968126,76,,
23,6641777465275,60,,
23,6365438212291,76,,
23,6286031188705,40,,
24,156329748375,56,,
24,234913463119,9,,
24,1079699202879,81,,
24,2053338816230,40,,
25,5598005808887,4,,
25,5619424628819,56,,
25,5547090899144,60,,
26,1825706434325,40,,
26,1885686251935,86,,
26,1234757437157,9,,
26,1159773660427,45,,
27,3382210526450,4,,
27,3340432490250,102,,
27,3345792608269,71,,
27,3286294857493,92,,
27,3378011056194,45,,
27,3166917182954,40,,
27,3138282335140,30,,
27,3414077755072,71,,
27,1366671765432,76,,
27,70947472342,81,,
27,1276678165311,96,,
27,37480666301,86,,
28,1737601765672,60,,
28,344933699892,81,,
28,1130178714693,102,,
28,1920446225307,96,,
29,5803921283117,4,,
29,5811345576855,92,,
29,5815269374694,9,,
29,7293225272842,35,,
29,7486015410219,92,,
29,7402173507422,30,,
29,7473100381856,60,,
29,7240655333967,51,,
30,9179276146345,5,,
30,8971633115126,25,,
30,9034068679690,51,,
30,8986173796273,102,,
30,9141911921574,9,,
31,8474188203708,22,,
31,8006009454121,96,,
31,8380335431598,60,,
31,8266139824692,96,,
31,8400232664516,71,,
31,7986617349093,4,,
31,7976725394899,102,,
32,8850798933278,41,,
32,8969260717811,56,,
32,8870966316941,51,,
32,8855307151757,51,,
32,8698245711788,4,,
32,8818902279466,60,,
33,2643460146790,56,,
33,2709426370477,27,,
33,2654038998666,15,,
33,2705557850442,30,,
34,8595556947025,81,,
34,8545856835077,45,,
34,8661092572073,76,,
34,8608437425031,76,,
35,3019016415690,20,,
35,3122731609293,20,,
35,2987909195327,9,,
35,2983636851698,25,,
35,5499286034179,35,,
35,5544078143207,60,,
35,5485368118641,15,,
36,5350048362343,71,,
36,5370986388570,20,,
36,5439629021301,9,,
36,5349361363863,9,,
37,4739422832525,76,,
37,4851840741252,60,,
37,4895365430576,66,,
37,4837249350162,40,,
37,4825852974804,81,,
37,4890920461762,51,,
38,7544825526916,102,,
38,7486531045774,81,,
39,2605660903398,40,,
39,2597204678722,30,,
39,2595994337763,56,,
39,2590707453924,76,,
39,5989242318824,35,,
39,5951225905095,30,,
39,5966272914947,92,,
39,6125059283852,92,,
40,1439053985400,41,,
40,2373725207026,56,,
40,2088608077085,25,,
40,2555835514420,45,,
41,2900208657586,45,,
41,2916972416682,76,,
41,2866539874824,60,,
41,2800023910853,9,,
42,7804641717569,26,,
42,7793773348109,30,,
42,7804855132214,60,,
42,7879554477541,12,,
42,9339950665845,102,,
42,9436798251188,25,,
42,9446076457936,9,,
42,9553173797823,71,,
42,9403419844654,35,,
42,9414224955035,71,,
42,9233874001771,45,,
42,9316185730901,92,,
42,9255637255942,102,,
42,9209129666344,92,,
42,9185744755773,96,,
43,3930414206368,30,,
43,4191219557328,20,,
43,4122104508667,76,,
43,4197333218543,25,,
44,2230532458878,71,,
44,1875510394615,92,,
44,1805628685987,56,,
44,1412167433738,96,,
45,1956109645359,45,,
45,1202090786034,20,,
45,1107598387298,76,,
45,157450008615,15,,
46,4681303644644,71,,
46,4486300323739,66,,
46,4226632397877,25,,
46,4419592058135,76,,
46,4297619923267,9,,
46,4540147594200,96,,
46,4287124254059,4,,
46,4198370883808,25,,
46,1454877089182,51,,
46,1487193399950,86,,
46,638867726851,2,,
46,1810290627660,20,,
