invno,itemcode,qty,discount_applied,purchaseprice
1,1276678165311,352,,
1,1439053985400,16,,
1,1825706434325,24,,
1,3414077755072,161,,
1,77138260738,176,,
2,3437092838232,85,,
2,3529641701435,29,,
2,3692809881621,130,,
2,3781243927428,163,,
3,4198370883808,88,,
3,4419592058135,166,,
3,6125059283852,210,,
3,6641777465275,102,,
4,8818902279466,245,,
4,9141911921574,112,,
4,9553173797823,215,,
5,5692260424576,119,,
5,9233874001771,78,,
5,9414224955035,240,,
5,9446076457936,85,,
5,9673455923281,49,,
5,9907871884915,93,,
5,9911543959160,63,,
6,3529641701435,29,,
6,7473100381856,191,,
6,9446076457936,85,,
7,3437092838232,85,,
7,3440089482255,49,,
7,4226632397877,259,,
7,4287124254059,34,,
7,4297619923267,196,,
7,7486015410219,53,,
8,2088608077085,220,,
8,3692809881621,130,,
8,5709928372640,115,,
8,7402173507422,112,,
9,18985904636,230,,
9,1920446225307,225,,
9,2555835514420,318,,
9,2595994337763,83,,
9,5692260424576,119,,
9,5709928372640,115,,
10,1920446225307,225,,
10,2108065354842,132,,
10,2147024987972,249,,
10,2605660903398,279,,
10,2643460146790,205,,
11,1159773660427,130,,
11,1202090786034,205,,
11,1737601765672,49,,
11,1805628685987,328,,
11,3437092838232,85,,
11,3440089482255,49,,
11,5692260424576,119,,
11,5709928372640,115,,
11,7717876455743,269,,
12,37480666301,205,,
12,377916232724,166,,
12,3781243927428,163,,
12,5692260424576,119,,
12,5709928372640,115,,
12,9673455923281,49,,
13,1107598387298,127,,
13,1130178714693,279,,
13,1159773660427,130,,
13,1202090786034,205,,
13,1234757437157,166,,
13,1439053985400,16,,
13,1454877089182,29,,
13,9446076457936,85,,
13,9673455923281,49,,
14,2437581370451,117,,
14,2108065354842,132,,
14,2585868702965,362,,
14,77138260738,176,,
15,2147024987972,249,,
15,377916232724,166,,
15,18985904636,230,,
15,2525928610022,441,,
16,7572734419041,460,,
16,7717876455743,269,,
16,7640576630556,98,,
16,7772218885168,264,,
16,7667612270538,421,,
16,7738359660968,303,,
17,6725958559525,147,,
17,6904544442887,107,,
17,7139714122929,352,,
17,7075604333224,303,,
17,7131966323459,450,,
17,6906181453793,176,,
17,6857737442756,166,,
18,4988433620806,156,,
18,5095161804493,372,,
18,5002033372982,225,,
18,4943045368969,431,,
19,5691856706789,196,,
19,5709928372640,115,,
19,5692260424576,119,,
19,5778666989554,441,,
20,9907871884915,93,,
20,9942784304392,303,,
20,9673455923281,49,,
20,9874435339651,558,,
20,9911543959160,63,,
20,9664534762926,490,,
20,9737304818826,519,,
21,5101572251751,176,,
21,5161306475091,78,,
21,5287649412216,49,,
21,5206374963140,205,,
22,3692809881621,130,,
22,3781243927428,163,,
22,3437092838232,85,,
22,3529641701435,29,,
22,3678434882628,107,,
22,3420962876731,411,,
22,3440089482255,49,,
22,3686016475870,617,,
22,3848203168782,215,,
22,3705722076256,176,,
23,6287964968126,137,,
23,6641777465275,102,,
23,6365438212291,568,,
23,6286031188705,333,,
24,156329748375,401,,
24,234913463119,303,,
24,1079699202879,245,,
24,2053338816230,352,,
25,5598005808887,343,,
25,5619424628819,529,,
25,5547090899144,176,,
26,1825706434325,24,,
26,1885686251935,323,,
26,1234757437157,166,,
26,1159773660427,130,,
27,3382210526450,176,,
27,3340432490250,156,,
27,3345792608269,352,,
27,3286294857493,450,,
27,3378011056194,137,,
27,3166917182954,352,,
27,3138282335140,166,,
27,3414077755072,161,,
27,1366671765432,88,,
27,70947472342,715,,
27,1276678165311,352,,
27,37480666301,205,,
28,1737601765672,49,,
28,344933699892,166,,
28,1130178714693,279,,
28,1920446225307,225,,
29,5803921283117,509,,
29,5811345576855,186,,
29,5815269374694,372,,
29,7293225272842,107,,
29,7486015410219,53,,
29,7402173507422,112,,
29,7473100381856,191,,
29,7240655333967,558,,
30,9179276146345,9,,
30,8971633115126,519,,
30,9034068679690,519,,
30,8986173796273,284,,
30,9141911921574,112,,
31,8474188203708,29,,
31,8006009454121,470,,
31,8380335431598,284,,
31,8266139824692,205,,
31,8400232664516,666,,
31,7986617349093,548,,
