productname,bestbefore
classic shave foam, 6 months
gentle baby shampoo,5 months
After Shave Lotion,3 months
colgate dental floss,12 months
Oral-B Essential Floss,6 months
Dabur Red Paste,14 months
Recharge Deodorant,15 months
signature Deodorant,13 months
Sport Deodorant,18 months
Deodorant Spray Perfume,17 months
Liquid Hand wash,8 months
Disinfectant Toilet Cleaner,5 months
bathing bar,14 months
Milk Soap,12 months
bathing soap,18 months
Bath Soap,16 months
shampoo,14 months
Hair Fall Rescue Shampoo,11 months
Amla Hair Oil,18 months
Coconut Hair Oil,15 months
Oil Bottle,22 months
Talcum Powder,24 months
Golden Beauty Alpine Dew Talc,18 months
Light Moisturiser,12 months
Milk Soft Cream,12 months
Beauty Gel for Skin,18 months
